id,title,duration,mpa,rating,votes,méta_score,description,movie_link,writers,directors,stars,budget,opening_weekend_gross,gross_worldwide,gross_us_canada,release_date,countries_origin,filming_locations,production_companies,awards_content,genres,languages
tt0027483,The Crimson Circle,1h 16m,,6.4,30,,"An extortion ring murders anyone who refuses to pay protection money. New Scotland Yard is on the case, but a victim is killed while under their protection. A sexy secretary falls under suspicion as the bodies pile up.",https://www.imdb.com/title/tt0027483/,"['Reginald Denham', 'Edgar Wallace', 'Howard Irving Young']",['Reginald Denham'],"['Hugh Wakefield', 'Alfred Drayton', 'Niall MacGinnis', 'June Duprez', 'Paul Blake', 'Noah Beery', 'Basil Gill', 'Gordon McLeod', 'Renee Gadd', 'Ralph Truman']",,,,,10-08-1936,['United Kingdom'],,['Richard Wainwright Productions'],,['Drama'],['English']
tt0058131,The Mystery of Thug Island,1h 36m,,5,114,,"Three year old Ada, daughter of the British captain McPherson, is captured by the Indian Tukh sect to represent the incarnation of Kali. Ever hidden in a vast underground system of caverns, she watches over human sacrifices, doubting her vocation. 15 years have passed when her father finally finds her and attempts a rescue, together with a snake-hunter who has fallen in love with her. A battle ensues.",https://www.imdb.com/title/tt0058131/,"['Emilio Salgari', 'Arpad DeRiso', 'Ottavio Poggi']",['Luigi Capuano'],"['Guy Madison', 'Ingeborg Schöner', 'Giacomo Rossi Stuart', 'Ivan Desny', 'Giulia Rubini', 'Ferdinando Poggi', 'Peter van Eyck', 'Aldo Bufi Landi', 'Aldo Cristiani', 'Romano Giomini']",,,,,28-05-1966,"['Italy', 'Monaco', 'West Germany']",,"['Eichberg-Film', 'Liber Film']",,['Adventure'],['Italian']
tt0042760,Las mujeres de mi general,1h 52m,Not Rated,6.8,74,,Infante stars as a rebel general caught up in a tempestuous romantic tug-of-war between two women: ex-girlfriend (Chula Prieto) and wife (Lilia Prado). This love triangle yields devastating consequences as they must face the governmental soldiers during the revolution.,https://www.imdb.com/title/tt0042760/,"['Joselito Rodríguez', 'Celestino Gorostiza', 'Ismael Rodríguez']",['Ismael Rodríguez'],"['Pedro Infante', 'Lilia Prado', 'Chula Prieto', 'Miguel Manzano', 'Miguel Inclán', 'Arturo Soto Rangel', 'Lupe Inclán', 'Alberto Catalá', 'Miguel Ángel López', 'Pedro de Urdimalas']",,,,,13-07-1951,['Mexico'],,['Producciones Rodríguez Hermanos'],,"['Drama', 'War']",['Spanish']
tt0027667,Gentle Julia,1h 2m,Approved,6.8,38,,A shy newspaperman (Brown) nearly gives up when his girlfriend (Hunt) falls for the new guy in town (Meeker) till Withers sets things right.,https://www.imdb.com/title/tt0027667/,"['Booth Tarkington', 'Lamar Trotti']",['John G. Blystone'],"['Jane Withers', 'Tom Brown', 'Marsha Hunt', 'Jackie Searl', 'Francis Ford', 'George Meeker', 'Maurice Murphy', 'Harry Holman', 'Myra Marsh', 'Hattie McDaniel']",,,,,10-04-1936,['United States'],"['20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA (Studio)']",['Twentieth Century Fox'],,"['Comedy', 'Drama', 'Romance']",['English']
tt0055747,Love at Twenty,1h 50m,,7.2,2.5K,,"""Love at Twenty"" unites five directors from around the world to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson. The directors create their peculiar scenarios with Truffaut revisiting Antoine Doinel, this time finding some meaning to his life while getting involved with a girl; Renzo Rossellini's episode about an abandoned mistress; Ishihara's tale about an obsessive love; Ophüls' story about a pregnant woman trying to plot against the baby's father; and Wajda presenting a confusing relationship between people from different generations.",https://www.imdb.com/title/tt0055747/,"['Shintarô Ishihara', 'Marcel Ophüls', 'Renzo Rossellini']","['Shintarô Ishihara', 'Marcel Ophüls', 'Renzo Rossellini']","['Jean-Pierre Léaud', 'Marie-France Pisier', 'Patrick Auffay', 'Rosy Varte', 'François Darbon', 'Jean-François Adam', 'Pierre Schaeffer', 'Cristina Gaioni', 'Geronimo Meynier', 'Eleonora Rossi Drago']",,,,,06-02-1963,"['France', 'Italy', 'Japan', 'Poland', 'West Germany']","['Warsaw Zoo, Ratuszowa, Praga Pólnoc, Warsaw, Mazowieckie, Poland (segment ""Warsaw"")']","['Ulysse Productions', 'Unitec Films', 'Cinesecolo']",,"['Drama', 'Romance']","['French', 'Polish', 'Japanese', 'Italian', 'German']"
tt0062768,Bye Bye Braverman,1h 34m,Approved,5.6,887,,"Four Jewish intellectuals carpool to the funeral of their old friend Leslie Braverman, who died suddenly at age 41.",https://www.imdb.com/title/tt0062768/,"['Wallace Markfield', 'Herbert Sargent']",['Sidney Lumet'],"['George Segal', 'Jack Warden', 'Joseph Wiseman', 'Sorrell Booke', 'Jessica Walter', 'Phyllis Newman', 'Zohra Lampert', 'Godfrey Cambridge', 'Alan King', 'Anthony Holland']",,,,,21-02-1968,['United States'],"['Christopher Park, Manhattan, New York City, New York, USA (Holly picks up Morroe and Barnet after hotdog)']",['Warner Bros./Seven Arts'],,"['Dark Comedy', 'Comedy', 'Drama']","['English', 'Hebrew']"
tt0041635,The cheat,1h 31m,,7.2,478,,"After spending all his money to fulfill the smallest wish of his wife Dora, Robert is still madly in love with her. Now she is in agony, and her mother comes. She will reveal to Robert how he has been fooled. Flashbacks show the story through Robert's or his mother-in-law's eyes. Through some flashbacks, we will see the story through Robert's or his mother-in-law's eyes. A very misogynous movie.",https://www.imdb.com/title/tt0041635/,['Jacques Sigurd'],['Yves Allégret'],"['Bernard Blier', 'Simone Signoret', 'Jacques Baumer', 'Mona Dol', 'Laure Diana', 'Fernand Rauzéna', 'Jean Ozenne', 'Jean Hébey', 'Pierre Naugier', 'Alain Debrus']",,,,,26-07-1949,['France'],,"['DisCina', 'Les Films Modernes (I)']",,['Drama'],['French']
tt0014515,Strangers of the Night,1h 20m,,5,13,,"A rousing fusion of satire, mystery and action. Aristrocrat Ambrose Applejohn is aching for excitement. He gets more than he bargained for when the two Russian thieves Anna Valeska and her partner Borolsky, arrive at the mansion one dark night.",https://www.imdb.com/title/tt0014515/,"['Lenore J. Coffee', 'Walter C. Hackett', 'Renaud Hoffman']",['Fred Niblo'],"['Matt Moore', 'Enid Bennett', 'Barbara La Marr', 'Robert McKim', 'Mathilde Brundage', 'Emily Fitzroy', 'Otto Hoffman', 'Tom Ricketts']",,,,"$206,200",10-09-1923,['United States'],,['Louis B. Mayer Productions'],,"['Comedy', 'Mystery']","['None', 'English']"
tt0035248,Rembrandt,1h 39m,,5.1,54,,,https://www.imdb.com/title/tt0035248/,"['Kurt Heuser', 'Hans Steinhoff', 'V. Tornius']",['Hans Steinhoff'],"['Ewald Balser', 'Hertha Feiler', 'Gisela Uhlen', 'Elisabeth Flickenschildt', 'Theodor Loos', 'Aribert Wäscher', 'Paul Henckels', 'Hildegard Grethe', 'Wilfried Seyferth', 'Paul Rehkopf']",,,,,17-06-1942,['Germany'],"['Amsterdam, Noord-Holland, Netherlands']",['Terra-Filmkunst'],,"['Biography', 'Drama']",['German']
tt0889588,The Children of Huang Shi,2h 5m,R,7,10K,49,"About young British journalist, George Hogg, who with the assistance of a courageous Australian nurse, saves a group of orphaned children during the Japanese occupation of China in 1937.",https://www.imdb.com/title/tt0889588/,"['Jane Hawksley', 'James MacManus', 'Simon van der Borgh']",['Roger Spottiswoode'],"['Jonathan Rhys Meyers', 'Radha Mitchell', 'Chow Yun-Fat', 'Michelle Yeoh', 'Guang Li', 'Ji Lin', 'Matthew Walker', 'Anastasia Kolpakova', 'Ping Su', 'Imai Hideaki']","$40,000,000 (estimated)","$42,755","$7,785,975","$1,031,872",13-06-2008,"['Australia', 'China', 'Germany', 'United States']","['Xiandu, Zhejiang, China']","['Australian Film Finance Corporation (AFFC)', 'Ming Productions', 'Bluewater Pictures']",,"['Drama', 'War']","['English', 'Japanese', 'Mandarin']"
